Service Item In Oks,Service Item Description,Name,Environment Name,Contract Start Date,Contract End Date
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Abu Dhabi National Hotels,ECUC-TEST,2016-02-25 00:00:00,2019-02-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Abu Dhabi National Hotels,ECUC-TEST,2016-02-25 00:00:00,2024-01-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture,EKAF,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture,EKAF-DEV1,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture,EKAF-TEST,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture,EKMW,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture,EKMW-TEST,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture,EKNM,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture,EKNM-DEV1,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture,EKNM-TEST,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture,EVVH,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture,EVVH-DEV1,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture,EVVH-TEST,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture LLP,EIQS,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture LLP,EIQS-DEV1,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture LLP,EIQS-DEV2,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture LLP,EIQS-TEST,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture LLP,ELVS,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture LLP,ELVS-DEV1,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture LLP,ELVS-DEV3,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture LLP,ELVS-DEV5,2016-02-22 00:00:00,2017-02-21 00:00:00
